Q,Component,Question,Subcomponent,Indicator,LawOrPractice,Element name
2,Value realization,Does the government publicly disclose data on extractive resource reserves?,Licensing,Reserves disclosure,Practice,Reserves volume disclosure
3,Value realization,How up-to-date is the publicly disclosed data on extractive resource reserves?,Licensing,Reserves disclosure,Practice,Reserves disclosure timeliness
4,Value realization,Is the data disclosed on extractive resource reserves machine-readable?,Licensing,Reserves disclosure,Practice,Reserves disclosure machine-readability
5,Value realization,Does the government publicly disclose data on the volume of extractive resource production?,Taxation,Production disclosure,Practice,Production volume disclosure
6,Value realization,How up-to-date is the publicly disclosed data on the volume of extractive resource production?,Taxation,Production disclosure,Practice,Production disclosure timeliness
7,Value realization,Is the data disclosed on the volume of extractive resource production machine-readable?,Taxation,Production disclosure,Practice,Production disclosure machine-readability
8,Value realization,Does the government publicly disclose data on the value of extractive resource exports?,Taxation,Export disclosure,Practice,Export value disclosure
9,Value realization,How up-to-date is the publicly disclosed data on the value of extractive resource exports?,Taxation,Export disclosure,Practice,Export disclosure timeliness
10,Value realization,Is the data disclosed on the value of extractive resource exports machine-readable?,Taxation,Export disclosure,Practice,Export disclosure machine-readability
11,Revenue management,"Does the government have an online data portal containing publicly available data on reserves, production and exports?",National budgeting,Online data portal,Practice,Online data portal coverage
12,Revenue management,"Does the online data portal contain the most recent publicly available data on reserves, production and exports?",National budgeting,Online data portal,Practice,Online data portal timeliness
13,Revenue management,Is the data contained in the online data portal machine-readable?,National budgeting,Online data portal,Practice,Online data portal machine-readability
14,Revenue management,Is the data contained in the online data portal available under an open license?,National budgeting,Online data portal,Practice,Online data portal open license
15,Value realization,Is the government required to publicly disclose all signed licenses/contracts with extractive companies?,Licensing,Contract disclosure rules,Law,Contract disclosure requirement
16,Value realization,"From 2015 onwards, has the government publicly disclosed signed licences/contracts?",Licensing,Contract disclosure ,Practice,Contract disclosure timeliness
17,Value realization,"Has the government publicly disclosed all active licenses/contracts, regardless of when they were signed?",Licensing,Contract disclosure ,Practice,Historical contract disclosure
18,Value realization,Is the country EITI-compliant?,Taxation,EITI affiliation and reporting,Practice,EITI affiliation
19,Value realization,How up-to-date is the data contained in the country's most recent EITI report?,Taxation,EITI affiliation and reporting,Practice,EITI report timeliness
