Precept1,Precept2,Precept3,REF,REFERENCE_NUMBER,ELEMENT_NAME,QUESTION,TYPE,LAW_OR_PRACTICE
NA,NA,NA,NA,1,Value realization,NA,COMPONENT,NA
NA,NA,NA,NA,1.1000000000000001,Licensing,NA,SUB-COMPONENT,NA
NA,NA,NA,NA,1.1.1,Reserves disclosure,NA,INDICATOR,Practice
NA,NA,"Precept 1: Strategy, Consultation and Institutions",2,1.1.1a,Reserves volume disclosure,Does the government publicly disclose data on extractive resource reserves?,QUESTION,Practice_Q
NA,NA,"Precept 1: Strategy, Consultation and Institutions",3,1.1.1b,Reserves disclosure timeliness,How up-to-date is the publicly disclosed data on extractive resource reserves?,QUESTION,Practice_Q
NA,NA,"Precept 1: Strategy, Consultation and Institutions",4,1.1.1c,Reserves disclosure machine-readability,Is the data disclosed on extractive resource reserves machine-readable?,QUESTION,Practice_Q
NA,NA,NA,NA,1.1.2,Cadaster,NA,INDICATOR,Practice
NA,NA,NA,169,1.1.2a,Cadaster coverage,Does a government agency maintain a publicly available registry of rights and license details (i.e. a cadaster)?,QUESTION,Practice_Q
NA,NA,Precept 3:Exploration and License Allocation,45,1.1.2b,Cadaster platform,"Is the publicly available registry of licenses/contracts available online, offline or in paper?",QUESTION,Practice_Q
NA,NA,Precept 3:Exploration and License Allocation,46,1.1.2c,Cadaster block coverage,Does the publicly available registry of licenses/contracts cover areas/blocks?,QUESTION,Practice_Q
NA,NA,Precept 3:Exploration and License Allocation,47,1.1.2d,Cadaster interest holders,Does the publicly available registry of licenses/contracts give the names of companies that hold an interest in a given area/block?,QUESTION,Practice_Q
NA,NA,NA,NA,1.1.3,Pre-licensing round rules,NA,INDICATOR,Law
NA,NA,Precept 3:Exploration and License Allocation,28,1.1.3a,Qualification criteria requirement,Is the government required to set pre-defined criteria by which companies become qualified to participate in a licensing process?,QUESTION,Law_Q
NA,NA,Precept 3:Exploration and License Allocation,32,1.1.3b,Biddable terms disclosure requirement,"Prior to each licensing process, is the licensing authority required to disclose a list of biddable terms or negotiable terms?",QUESTION,Law_Q
NA,NA,Precept 3:Exploration and License Allocation,34,1.1.3c,Licensing process requirement,"Prior to each license process, is the licensing authority required to disclose the rules governing the licensing process, such as auction or negotiation rules?",QUESTION,Law_Q
