Q,Component,Question,QuestionLabel,Subcomponent,Indicator,LawOrPractice,Element name,Scoring,Precepts
1,Enabling environment,How does the country legally define the ownership of subsoil extractive resources?,1.1a,Open data,Open data index,neither,Resources ownership definition,non-scoring,"[""Precept 1: Strategy, Consultation and Institutions""]"
2,Value realization,Does the government publicly disclose data on extractive resource reserves?,1.1.1a,Licensing,Reserves disclosure,practice,Reserves volume disclosure,scoring,"[""Precept 1: Strategy, Consultation and Institutions""]"
3,Value realization,How up-to-date is the publicly disclosed data on extractive resource reserves?,1.1.1b,Licensing,Reserves disclosure,practice,Reserves disclosure timeliness,scoring,"[""Precept 1: Strategy, Consultation and Institutions""]"
4,Value realization,Is the data disclosed on extractive resource reserves machine-readable?,1.1.1c,Licensing,Reserves disclosure,practice,Reserves disclosure machine-readability,scoring,"[""Precept 1: Strategy, Consultation and Institutions""]"
5,Value realization,Does the government publicly disclose data on the volume of extractive resource production?,1.2.1a,Taxation,Production disclosure,practice,Production volume disclosure,scoring,"[""Precept 4: Taxation""]"
6,Value realization,How up-to-date is the publicly disclosed data on the volume of extractive resource production?,1.2.1b,Taxation,Production disclosure,practice,Production disclosure timeliness,scoring,"[""Precept 4: Taxation""]"
7,Value realization,Is the data disclosed on the volume of extractive resource production machine-readable?,1.2.1c,Taxation,Production disclosure,practice,Production disclosure machine-readability,scoring,"[""Precept 4: Taxation""]"
8,Value realization,Does the government publicly disclose data on the value of extractive resource exports?,1.2.2a,Taxation,Export disclosure,practice,Export value disclosure,scoring,"[""Precept 4: Taxation""]"
9,Value realization,How up-to-date is the publicly disclosed data on the value of extractive resource exports?,1.2.2b,Taxation,Export disclosure,practice,Export disclosure timeliness,scoring,"[""Precept 4: Taxation""]"
10,Value realization,Is the data disclosed on the value of extractive resource exports machine-readable?,1.2.2c,Taxation,Export disclosure,practice,Export disclosure machine-readability,scoring,"[""Precept 4: Taxation""]"
11,Revenue management,"Does the government have an online data portal containing publicly available data on reserves, production and exports?",2.1.1a,National budgeting,Online data portal,practice,Online data portal coverage,scoring,"[""Precept 1: Strategy, Consultation and Institutions"", ""Precept 2: Accountability and Transparency"", ""Precept 9: Government Spending""]"
12,Revenue management,"Does the online data portal contain the most recent publicly available data on reserves, production and exports?",2.1.1b,National budgeting,Online data portal,practice,Online data portal timeliness,scoring,"[""Precept 1: Strategy, Consultation and Institutions"", ""Precept 2: Accountability and Transparency"", ""Precept 9: Government Spending""]"
13,Revenue management,Is the data contained in the online data portal machine-readable?,2.1.1c,National budgeting,Online data portal,practice,Online data portal machine-readability,scoring,"[""Precept 1: Strategy, Consultation and Institutions"", ""Precept 2: Accountability and Transparency"", ""Precept 9: Government Spending""]"
14,Revenue management,Is the data contained in the online data portal available under an open license?,2.1.1d,National budgeting,Online data portal,practice,Online data portal open license,scoring,"[""Precept 1: Strategy, Consultation and Institutions"", ""Precept 2: Accountability and Transparency"", ""Precept 9: Government Spending""]"
15,Value realization,Is the government required to publicly disclose all signed licenses/contracts with extractive companies?,1.1.9a,Licensing,Contract disclosure rules,law,Contract disclosure requirement,scoring,"[""Precept 2: Accountability and Transparency"", ""Precept 3: Exploration and License Allocation""]"
16,Value realization,"From 2015 onwards, has the government publicly disclosed signed licences/contracts?",1.1.10a,Licensing,Contract disclosure,practice,Contract disclosure timeliness,scoring,"[""Precept 3: Exploration and License Allocation"", ""Precept 2: Accountability and Transparency""]"
17,Value realization,"Has the government publicly disclosed all active licenses/contracts, regardless of when they were signed?",1.1.10b,Licensing,Contract disclosure,practice,Historical contract disclosure,scoring,"[""Precept 3: Exploration and License Allocation"", ""Precept 2: Accountability and Transparency""]"
18,Value realization,Is the country EITI-compliant?,1.2.8a,Taxation,EITI affiliation and reporting,practice,EITI affiliation,scoring,"[""Precept 12: Role of International Community"", ""Precept 2: Accountability and Transparency""]"
19,Value realization,How up-to-date is the data contained in the country's most recent EITI report?,1.2.8b,Taxation,EITI affiliation and reporting,practice,EITI report timeliness,scoring,"[""Precept 12: Role of International Community"", ""Precept 2: Accountability and Transparency""]"
20,Value realization,Are senior public officials required to publicly disclose their financial holdings in extractive companies?,1.1.7a,Licensing,Financial interest disclosure rules,law,Public officials asset disclosure requirement,scoring,"[""Precept 2: Accountability and Transparency"", ""Precept 3: Exploration and License Allocation""]"
21,Value realization,"From 2015 onwards, have senior public officials publicly disclosed their financial holdings in extractive companies?",1.1.8a,Licensing,Financial interest disclosure practice,practice,Public officials asset disclosure,scoring,"[""Precept 3: Exploration and License Allocation"", ""Precept 2: Accountability and Transparency""]"
22,Value realization,Do rules require public disclosure of beneficial owners of extractive companies?,1.1.7b,Licensing,Financial interest disclosure rules,law,Beneficial ownership requirement,scoring,"[""Precept 2: Accountability and Transparency"", ""Precept 3: Exploration and License Allocation""]"
23,Value realization,"From 2015 onwards, have the beneficial owners of extractive companies been disclosed?",1.1.8b,Licensing,Financial interest disclosure practice,practice,Beneficial ownership disclosure,scoring,"[""Precept 3: Exploration and License Allocation"", ""Precept 2: Accountability and Transparency""]"
24,Enabling environment,Who is the licensing authority (i.e. who has the authority to grant exploration and extraction rights to companies)?,1.1b,Open data,Open data index,neither,Licensing authority,non-scoring,"[""Precept 1: Strategy, Consultation and Institutions""]"
25,Value realization,Is the licensing authority independent from the SOE?,1.1.3d,Licensing,Pre-licensing round rules,law,Licensing authority independence,scoring,"[""Precept 3: Exploration and License Allocation""]"
26,Enabling environment,What licensing process does the licensing authority follow?,1.1c,Open data,Open data index,neither,Licensing process,non-scoring,"[""Precept 3: Exploration and License Allocation""]"
28,Value realization,Is the government required to set pre-defined criteria by which companies become qualified to participate in a licensing process?,1.1.3a,Licensing,Pre-licensing round rules,law,Qualification criteria requirement,scoring,"[""Precept 3: Exploration and License Allocation""]"
29,Value realization,"From 2015 onwards, did the licensing authority publicly disclose minimum pre-defined criteria by which companies become qualified to participate in licensing processes?",1.1.4a,Licensing,Pre-licensing round practice,practice,Qualification criteria disclosure,scoring,"[""Precept 3: Exploration and License Allocation""]"
32,Value realization,"Prior to each licensing process, is the licensing authority required to disclose a list of biddable terms or negotiable terms?",1.1.3b,Licensing,Pre-licensing round rules,law,Biddable terms disclosure requirement,scoring,"[""Precept 3: Exploration and License Allocation""]"
33,Value realization,"From 2015 onwards, and prior to each licensing process, did the licensing authority actually disclose a list of biddable or negotiable terms?",1.1.4b,Licensing,Pre-licensing round practice,practice,Biddable terms disclosure,scoring,"[""Precept 3: Exploration and License Allocation""]"
34,Value realization,"Prior to each license process, is the licensing authority required to disclose the rules governing the licensing process, such as auction or negotiation rules?",1.1.3c,Licensing,Pre-licensing round rules,law,Licensing process requirement,scoring,"[""Precept 3: Exploration and License Allocation""]"
35,Value realization,"From 2015 onwards, and prior to each licensing process, did the licensing authority actually disclose the rules governing the licensing process, such as auction or negotiation rules?",1.1.4c,Licensing,Pre-licensing round practice,practice,Licensing process rule disclosure,scoring,"[""Precept 3: Exploration and License Allocation""]"
36,Enabling environment,Who has the primary authority to monitor compliance with the operational aspects of licenses/contracts?,1.1.10c,Open data,Open data index,neither,License compliance authority,non-scoring,"[""Precept 2: Accountability and Transparency"", ""Precept 3: Exploration and License Allocation""]"
37,Value realization,"Following each licensing process, is the licensing authority required to disclose†the list of companies that submitted license applications (in the case of a first-come, first served; or negotiation round) or bids (in the case of an auction)?",1.1.5a,Licensing,Post-licensing round rules,law,License applicant disclosure requirement,scoring,"[""Precept 3: Exploration and License Allocation""]"
